x	f(x)	P1(x)	P2(x)	P3(x)	P4(x)	P5(x)	Q1(x)	Q2(x)	Q3(x)	Q4(x)	Q5(x)
-0.02	-0.007798	-0.0120775	-0.0125633	-0.00258236	-0.00273822	-0.00287122	-0.0120775	-0.0125633	-0.00258236	-0.00223058	-0.00141542	
-0.02	0.035872	-0.0120775	-0.0125633	-0.00258236	-0.00273822	-0.00287122	-0.0120775	-0.0125633	-0.00258236	-0.00223058	-0.00141542	
0	0.01422	-0.00132116	-0.00180752	-0.00180752	-0.00196367	-0.00196367	-0.00132116	-0.00180752	-0.00180752	-0.00145435	-0.00145435	
0	-0.00054	-0.00132116	-0.00180752	-0.00180752	-0.00196367	-0.00196367	-0.00132116	-0.00180752	-0.00180752	-0.00145435	-0.00145435	
0	0.02506	-0.00132116	-0.00180752	-0.00180752	-0.00196367	-0.00196367	-0.00132116	-0.00180752	-0.00180752	-0.00145435	-0.00145435	
0.02	-0.019692	0.00943516	0.00894937	-0.00103154	-0.0011874	-0.0010544	0.00943516	0.00894937	-0.00103154	-0.000679757	-0.00149491	
0.02	0.014138	0.00943516	0.00894937	-0.00103154	-0.0011874	-0.0010544	0.00943516	0.00894937	-0.00103154	-0.000679757	-0.00149491	
0.02	0.041688	0.00943516	0.00894937	-0.00103154	-0.0011874	-0.0010544	0.00943516	0.00894937	-0.00103154	-0.000679757	-0.00149491	
0.04	-0.040936	0.0201915	0.0197074	-0.00021524	-0.000370222	-0.00010483	0.0201915	0.0197074	-0.00021524	0.000132394	-0.00148896	
0.04	-0.024026	0.0201915	0.0197074	-0.00021524	-0.000370222	-0.00010483	0.0201915	0.0197074	-0.00021524	0.000132394	-0.00148896	
0.04	0.037684	0.0201915	0.0197074	-0.00021524	-0.000370222	-0.00010483	0.0201915	0.0197074	-0.00021524	0.000132394	-0.00148896	
0.06	-0.0332341	0.0309478	0.0304666	0.000680546	0.000527025	0.000923585	0.0309478	0.0304666	0.000680546	0.00102129	-0.0013884	
0.06	0.0243159	0.0309478	0.0304666	0.000680546	0.000527025	0.000923585	0.0309478	0.0304666	0.000680546	0.00102129	-0.0013884	
0.06	0.0138059	0.0309478	0.0304666	0.000680546	0.000527025	0.000923585	0.0309478	0.0304666	0.000680546	0.00102129	-0.0013884	
0.08	0.0267515	0.0417041	0.0412269	0.00169499	0.00154351	0.00206941	0.0417041	0.0412269	0.00169499	0.00202615	-0.00114527	
0.08	-0.0441185	0.0417041	0.0412269	0.00169499	0.00154351	0.00206941	0.0417041	0.0412269	0.00169499	0.00202615	-0.00114527	
0.08	-0.0340085	0.0417041	0.0412269	0.00169499	0.00154351	0.00206941	0.0417041	0.0412269	0.00169499	0.00202615	-0.00114527	
0.1	0.0158283	0.0524604	0.0519884	0.00286727	0.0027184	0.00337119	0.0524604	0.0519884	0.00286727	0.00318619	-0.000711762	
0.1	0.0269483	0.0524604	0.0519884	0.00286727	0.0027184	0.00337119	0.0524604	0.0519884	0.00286727	0.00318619	-0.000711762	
0.1	-0.00859167	0.0524604	0.0519884	0.00286727	0.0027184	0.00337119	0.0524604	0.0519884	0.00286727	0.00318619	-0.000711762	
0.12	-0.0122561	0.0632168	0.062751	0.00423654	0.00409085	0.00486751	0.0632168	0.062751	0.00423654	0.00454065	-4.03077e-05	
0.12	-0.00477614	0.0632168	0.062751	0.00423654	0.00409085	0.00486751	0.0632168	0.062751	0.00423654	0.00454065	-4.03077e-05	
0.12	-0.0453661	0.0632168	0.062751	0.00423654	0.00409085	0.00486751	0.0632168	0.062751	0.00423654	0.00454065	-4.03077e-05	
0.14	-0.038905	0.0739731	0.0735148	0.005842	0.00570003	0.00659692	0.0739731	0.0735148	0.005842	0.00612879	0.000916353	
0.14	0.046475	0.0739731	0.0735148	0.005842	0.00570003	0.00659692	0.0739731	0.0735148	0.005842	0.00612879	0.000916353	
0.14	-0.037065	0.0739731	0.0735148	0.005842	0.00570003	0.00659692	0.0739731	0.0735148	0.005842	0.00612879	0.000916353	
0.16	3.85461e-05	0.0847294	0.0842797	0.00772279	0.00758511	0.00859799	0.0847294	0.0842797	0.00772279	0.00798988	0.00220512	
0.16	-0.00571145	0.0847294	0.0842797	0.00772279	0.00758511	0.00859799	0.0847294	0.0842797	0.00772279	0.00798988	0.00220512	
0.16	0.0275585	0.0847294	0.0842797	0.00772279	0.00758511	0.00859799	0.0847294	0.0842797	0.00772279	0.00798988	0.00220512	
0.18	-0.0122094	0.0954857	0.0950457	0.00991811	0.00978523	0.0109093	0.0954857	0.0950457	0.00991811	0.0101632	0.00387245	
0.18	0.0524806	0.0954857	0.0950457	0.00991811	0.00978523	0.0109093	0.0954857	0.0950457	0.00991811	0.0101632	0.00387245	
0.18	0.000640558	0.0954857	0.0950457	0.00991811	0.00978523	0.0109093	0.0954857	0.0950457	0.00991811	0.0101632	0.00387245	
0.2	0.0407568	0.106242	0.105813	0.0124671	0.0123396	0.0135694	0.106242	0.105813	0.0124671	0.0126881	0.00596434	
0.2	0.00528677	0.106242	0.105813	0.0124671	0.0123396	0.0135694	0.106242	0.105813	0.0124671	0.0126881	0.00596434	
0.2	-0.0415232	0.106242	0.105813	0.0124671	0.0123396	0.0135694	0.106242	0.105813	0.0124671	0.0126881	0.00596434	
